date,run_type,total_invested,current_value,pnl_dollars,pnl_percent,num_positions,num_winners,num_losers,best_ticker,best_return,worst_ticker,worst_return
2026-05-15,monthly,5000.0,4977.179852019635,-22.82014798036471,-0.004564029596072942,10,6,4,ELV,0.2382728041863818,CTSH,-0.22546680924570206
2026-06-15,quarterly,5000.0,5101.805477576281,101.80547757628119,0.02036109551525624,10,4,6,FSLR,0.3237118497466947,UHS,-0.18719686948853617
2026-06-15,quarterly,5000.0,5103.915077978769,103.91507797876875,0.02078301559575375,10,4,6,FSLR,0.336340046954158,UHS,-0.18719686948853617
2026-07-15,monthly,5000.0,4923.120397916173,-76.8796020838272,-0.01537592041676544,10,5,5,DAL,0.23057715631019493,CTSH,-0.2837048613967261
